소분류,바코드,제품명,제조사,유통기한,소비기한-유통기한
김치,8809496700072,황진사 깍두기,농업회사법인 비에스푸드 주식회사,180,180.0
김치,8809032390088,유정임동치미,농업회사법인 풍미식품(주),90,180.0
육류,8809630200000,염가네 옛맛편육(순한맛),유한회사 아웃스탠딩에프앤비,40,180.0
육류,8809683530062,임성근의 수성심 불곱창,원더팩토리,365,180.0
햄,8809574670006,아워홈 프로슈토,(주)아워홈,180,7.0
베이컨,8801052048758,담백하고 건강한 베이컨,대상델리하임 주식회사,25,0.0
김치,8809623830610,깍두기,쉐프윤쿠킹푸드,30,180.0
육류,8809665310484,폭산적,(주)비젼식품,365,180.0
두부,8809702470034,순두부,농업회사법인 유한회사 연봉두부,15,90.0
육류,8809726920010,봉피양 본양념목살,(주)미래웰푸드,360,180.0
치즈,8809684420072,유기농 찢어먹는 스트링치즈,다만목장,30,70.0
육류,8809430221236,제육볶음,(주)케이프라이드,10,180.0
육류,8809736160017,춘천새벽닭갈비 양념맛,나라찬에프엔비,360,180.0
육류,8809599500302,차밍덕오리주물럭,(주)정축산,10,180.0
어묵,8809785510115,야채특천,씨원푸드,12,3.0
베이컨,8809226822739,식자재왕베이컨,(주)허스델리,360,0.0
소시지,8801052043494,데쳐먹으면 맛있는 비엔나,대상델리하임 주식회사,30,7.0
육류,8809343350320,맛기픈돼지왕구이용,(주)고향미트,15,180.0
육류,8809618850128,정말 맛있는 닭갈비 중간맛,화진식품,360,180.0
육류,8809534180248,대패 양념구이,(주)이엘푸드코리아,365,180.0
어묵,8801242643725,안심부산어묵 얇은사각,씨제이 씨푸드 주식회사,17,3.0
김치,8809505850095,0.8 프리미엄 오이백소박이,대원푸드 농업회사법인 주식회사,180,180.0
김치,8809261670593,동치미,양평절골농원,180,180.0
치즈,8809316150612,프레쉬모짜렐라치즈,(주)본델,90,70.0
햄,8809626340406,바비큐 삼겹살,농업회사법인 주식회사 에스엠푸드,40,7.0
어묵,8803404001589,수제 순살사각 小,(주)효성어묵,50,3.0
어묵,8803404001985,죽,(주)효성어묵,12,3.0
육류,8809745200001,양념족발,신진축산유통,45,180.0
육류,8801492377623,하림 핵불닭발,주식회사 하림 제2공장,40,180.0
김치,8801024110209,종가집 맛김치,대상(주)횡성공장,30,180.0
묵,8809365781751,임진밤묵,공주밤식품영농조합법인,15,0.0
육류,8809666410107,간장돼지불고기,주식회사 아시안푸드스타,360,180.0
육류,8809379741130,푸건쫄깃한돼지껍데기,주식회사푸건식품,365,180.0
육류,8809542520173,삼시세때 돈육,(주)국보푸드시스템,25,180.0
소시지,8801047578277,동원 통그릴후랑크,(주)동원F&B,45,7.0
